Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Canal Bistro - Mediterranean Grill,"[[690, 1335], [0, 60]]","[[420, 855]]","[[900, 1140]]","[[405, 1440]]","[[420, 855], [0, 60]]","[[840, 1245]]","[[405, 1440]]"
FARMbloomington,[],[],"[[810, 1200]]",[],"[[960, 1440]]","[[0, 60], [870, 1095]]","[[660, 1215]]"
Ciao By Villaggio,"[[780, 1170]]","[[570, 1125]]","[[780, 1170]]","[[405, 1185]]","[[345, 1245]]","[[810, 1185]]","[[660, 1095]]"
The Class Act,"[[0, 195]]","[[930, 1440]]","[[0, 105]]","[[945, 1200]]","[[300, 1050]]","[[660, 735]]","[[975, 1440]]"
Formosa,"[[840, 1065]]",[],"[[330, 420]]","[[495, 1005]]","[[885, 1215]]","[[1005, 1335]]","[[435, 750]]"
Vinny Vanucchi's 'Little Italy' - Dubuque,"[[630, 1335]]","[[330, 1365]]","[[690, 1350]]","[[450, 1365]]","[[645, 930]]","[[690, 1350]]","[[1035, 1320]]"
Joseph's Steakhouse of Iowa City,"[[750, 750]]","[[1065, 1170]]","[[555, 840]]",[],"[[585, 1155]]","[[480, 1095]]","[[705, 1155]]"
Django Restaurant,"[[855, 900]]",[],"[[645, 1125]]","[[1035, 1185]]","[[855, 1440]]","[[0, 105], [375, 1440]]","[[0, 120], [735, 1365]]"
Main + Abbey - Hard Rock Hotel & Casino Sioux City,"[[1050, 1095]]","[[960, 1170]]","[[630, 1305]]","[[885, 900]]","[[990, 1095]]","[[885, 900]]","[[960, 1170]]"
Centro Restaurant,"[[390, 1440]]","[[0, 180], [810, 1440]]","[[0, 150], [900, 1440]]","[[0, 135], [435, 1155]]","[[660, 1185]]","[[540, 1440]]","[[0, 195], [495, 690]]"
The Iowa Chop House,[],"[[960, 1440]]","[[0, 90], [600, 705]]","[[960, 1440]]","[[0, 90], [540, 1125]]","[[330, 615]]","[[345, 420]]"
Barley & Rye,"[[990, 1050], [0, 60]]","[[420, 690]]","[[420, 990]]","[[420, 690]]","[[570, 1260]]","[[915, 1350]]","[[645, 1440]]"
Givanni's,"[[870, 1425], [0, 195]]","[[690, 735]]","[[555, 750]]","[[420, 540]]","[[555, 750]]","[[780, 1365]]","[[660, 1440]]"
801 Chophouse – Des Moines,"[[660, 1440], [0, 90]]","[[0, 195], [915, 1065]]","[[660, 1440]]","[[0, 195], [1035, 1425]]","[[555, 885]]","[[930, 1110]]","[[450, 1440]]"
Raccoon River Brewing Company,"[[1065, 1440]]","[[0, 225], [615, 1365]]","[[570, 720]]","[[915, 1200]]","[[870, 1365]]","[[315, 405]]","[[705, 795]]"
Malo,"[[540, 750]]",[],"[[315, 675]]","[[435, 1110]]","[[1005, 1440]]","[[0, 720], [480, 1440]]","[[0, 75], [405, 1035]]"
Splash Seafood Bar and Grill,"[[765, 975]]","[[990, 1125]]","[[1050, 1410]]","[[840, 1440]]","[[0, 105], [1035, 1365]]","[[990, 1125]]",[]
350 First - Doubletree Hilton,"[[510, 810]]","[[1020, 1335]]","[[495, 1095]]","[[795, 1440]]","[[0, 135], [1065, 1170]]","[[555, 1200]]","[[810, 1185]]"
Red Crow Grille,"[[990, 1440], [0, 180]]","[[0, 210]]","[[420, 1365]]","[[390, 525]]","[[1050, 1440]]","[[0, 720], [735, 870]]","[[330, 1440]]"
Woodfire Grille at Diamond Jo - Northwood,[],"[[615, 795]]","[[345, 1245]]","[[885, 1440]]","[[0, 180], [720, 960]]","[[885, 1440]]","[[0, 180], [615, 765]]"
Louie's Wine Dive - Des Moines,"[[930, 1260], [0, 60]]","[[645, 1095]]","[[765, 1440]]","[[0, 180], [990, 1275]]","[[645, 1095]]","[[660, 720]]","[[1065, 1440]]"
Woodfire Grille at Diamond Jo - Dubuque,[],"[[825, 1440]]","[[0, 720], [450, 1425]]","[[510, 1410]]","[[630, 750]]","[[570, 735]]","[[390, 1350]]"
DJ's Steakhouse-Jumers Casino and Hotel,"[[315, 885], [0, 120]]",[],"[[315, 885]]",[],"[[345, 1155]]","[[480, 1095]]","[[330, 1440]]"
The Gramercy Tap,"[[450, 1020], [0, 150]]","[[570, 885]]",[],"[[600, 1440]]","[[0, 150], [315, 1440]]","[[0, 75], [1050, 1440]]","[[600, 1440], [0, 75]]"
Fleming's Steakhouse - Des Moines,"[[750, 1440]]","[[0, 225]]","[[870, 1335]]","[[795, 1035]]","[[705, 1155]]","[[1005, 1440]]","[[870, 1335], [0, 765]]"
Bass Street Chop House,"[[645, 1335]]","[[510, 1320]]","[[450, 1305]]","[[615, 1440]]","[[0, 180], [315, 720]]","[[705, 1320]]","[[315, 720]]"
Americana - Des Moines,"[[330, 1245], [0, 165]]",[],"[[420, 1170]]",[],"[[1005, 1335]]","[[660, 1440]]","[[0, 135], [600, 1440]]"
Main Street Steak and Chop House,[],"[[735, 1440]]","[[0, 195], [525, 675]]",[],[],"[[750, 1050]]",[]
Mezzodi's,"[[1035, 1185], [0, 60]]","[[660, 735]]","[[585, 645]]","[[345, 480]]","[[900, 1185]]","[[585, 645]]","[[645, 1440]]"
L. May Eatery,"[[660, 1005]]","[[330, 870]]","[[660, 1215]]","[[705, 1305]]","[[660, 1005]]","[[915, 975]]","[[660, 1215]]"
Takanami,"[[495, 735], [0, 225]]","[[840, 1230]]","[[420, 855]]","[[930, 1440]]","[[420, 855], [0, 195]]","[[300, 1440]]","[[0, 210], [885, 1440]]"
Restauration,"[[390, 930]]","[[930, 1440]]","[[0, 135], [1035, 1440]]","[[0, 765], [960, 1440]]","[[390, 930], [0, 225]]","[[780, 1440]]","[[0, 135], [900, 1290]]"
Zins Restaurant,"[[0, 180]]","[[420, 1290]]","[[990, 1440]]","[[0, 165], [1035, 1440]]","[[0, 90]]","[[330, 1320]]","[[480, 1440]]"
Pizzeria Caldera,[],"[[765, 1335]]","[[465, 930]]","[[495, 1065]]","[[750, 1185]]","[[300, 1230]]","[[750, 810]]"
The Restaurant at The Cakebread Ranch Wyoming,"[[675, 1095]]","[[330, 1215]]","[[795, 1440]]","[[330, 1215], [0, 750]]","[[630, 1125]]","[[435, 1035]]","[[510, 1050]]"
Rendezvous Bistro,"[[0, 750]]","[[510, 540]]","[[975, 1440]]","[[0, 720], [510, 1260]]","[[510, 540]]","[[1050, 1440]]","[[0, 195], [1035, 1440]]"
Wild Sage @ The Rusty Parrot Lodge,"[[345, 1155]]","[[630, 1440]]","[[0, 135], [1050, 1155]]","[[1035, 1320]]","[[345, 1155]]","[[660, 1440]]","[[0, 225]]"
The Handle Bar,"[[870, 1080]]",[],"[[645, 870]]","[[855, 1440]]","[[0, 210], [465, 1185]]","[[855, 1440]]","[[0, 210], [900, 1080]]"
Alpenrose at the Alpenhof Lodge,[],"[[720, 810]]","[[735, 1005]]","[[720, 810]]","[[405, 1005]]","[[900, 1440]]","[[0, 210], [645, 795]]"
Firenze Italian Steakhouse,[],"[[690, 900]]",[],"[[465, 690]]","[[690, 900]]","[[870, 1440]]","[[0, 210], [315, 630]]"
Frackeltons,"[[660, 765]]",[],"[[510, 765]]","[[1065, 1440]]","[[0, 60], [300, 1215]]","[[795, 870]]","[[930, 1110]]"
Couloir,[],"[[990, 1065]]",[],"[[330, 570]]","[[1065, 1440]]","[[990, 1065], [0, 135]]","[[765, 1095]]"
Il Villaggio Osteria,"[[810, 1050]]","[[795, 1365]]","[[750, 1155]]","[[795, 1365]]","[[1065, 1080]]","[[780, 1185]]","[[585, 660]]"
Trio An American Bistro,"[[480, 1440]]","[[0, 90], [660, 1290]]","[[720, 1065]]","[[885, 1185]]","[[375, 1065]]","[[735, 945]]","[[360, 750]]"
Silver Dollar Grill,"[[0, 195]]","[[795, 1440]]","[[0, 75], [915, 1425]]",[],"[[570, 1440]]","[[0, 120]]","[[900, 1440]]"
The White Buffalo Club,"[[420, 1035]]","[[945, 1440]]","[[0, 750], [810, 1230]]","[[945, 1440]]","[[0, 750]]","[[450, 1440]]","[[0, 210], [510, 1140]]"
Q Roadhouse,[],"[[315, 1095]]","[[1005, 1440]]","[[0, 225]]","[[600, 975]]","[[375, 525]]","[[540, 1350]]"
Westbank Grill @ Four Seasons Jackson Hole,"[[960, 1215]]","[[945, 1440]]","[[0, 90], [435, 525]]","[[960, 1215]]",[],[],"[[840, 1290]]"
The Prime Rib Restaurant & Wine Cellar,"[[630, 1440]]","[[0, 75], [675, 1440]]","[[0, 105], [480, 1035]]","[[630, 1440]]","[[0, 75], [960, 1440]]","[[0, 750]]","[[765, 1395]]"
Snake River Grill,[],"[[645, 1005]]","[[390, 645]]","[[885, 1080]]","[[390, 645]]","[[945, 1440]]","[[0, 750], [375, 615]]"
Cafe Genevieve,"[[570, 750]]","[[315, 765]]","[[525, 540]]","[[1065, 1440]]","[[570, 750], [0, 750]]","[[555, 1140]]","[[540, 1425]]"
Mural Room - Grand Teton Lodging Company,"[[705, 1095]]",[],"[[705, 720]]","[[480, 600]]","[[945, 1320]]","[[540, 960]]","[[945, 1320]]"
Local Restaurant and Bar,"[[540, 1440]]","[[0, 60], [900, 1095]]","[[315, 1185]]","[[540, 1260]]","[[900, 1095]]","[[540, 1260]]","[[315, 510]]"
Nikai Sushi,"[[660, 1425]]","[[810, 1410]]","[[810, 1440]]","[[0, 150], [900, 1440]]","[[0, 135], [435, 495]]","[[900, 1440]]","[[0, 135]]"
Jordan's Western Dining,[],"[[510, 975]]","[[870, 1440]]","[[0, 75], [495, 1065]]","[[720, 780]]","[[330, 690]]","[[495, 1065]]"
Haydens Post,"[[390, 435]]",[],"[[705, 1440]]","[[0, 210]]","[[810, 1155]]","[[705, 1440]]","[[810, 1155], [0, 210]]"
Cole Creek Bar & Grill,"[[540, 1035]]","[[750, 930]]","[[540, 1035]]","[[750, 930]]","[[540, 1035]]","[[885, 1440]]","[[0, 195], [840, 945]]"
Cowfish,"[[495, 1440]]","[[0, 135], [615, 735]]","[[495, 1440]]","[[0, 135], [840, 1440]]","[[0, 135], [900, 1005]]","[[975, 1110]]","[[1005, 1290]]"
8th Street at the Ivy,[],[],[],"[[405, 495]]","[[900, 1440]]","[[0, 180], [510, 765]]","[[555, 1260]]"
The Granary Restaurant,"[[405, 1080]]","[[930, 1440]]","[[405, 1080], [0, 165]]","[[930, 1440]]","[[0, 165]]","[[885, 1050]]",[]
The Indian,"[[705, 1440]]","[[0, 210]]","[[1020, 1440]]","[[705, 1440], [0, 750]]","[[0, 210]]","[[405, 690]]","[[1005, 1065]]"
Teton Pines Restaurant,"[[615, 1140]]","[[855, 1170]]","[[1065, 1125]]","[[960, 1440]]","[[0, 765], [765, 1005]]","[[780, 1440]]","[[0, 105], [810, 900]]"
Million Dollar Cowboy Steakhouse,"[[1050, 1215]]","[[480, 1005]]","[[390, 765]]","[[480, 1005]]","[[705, 885]]","[[780, 1410]]",[]
The Kitchen,"[[1035, 1440]]","[[0, 90]]","[[930, 1200]]","[[870, 1440]]","[[0, 105], [900, 1440]]","[[930, 1200], [0, 210]]",[]
Nani's Ristorante & Bar,"[[735, 1440]]","[[0, 180], [810, 1245]]","[[405, 1125]]","[[375, 1440]]","[[0, 150], [480, 975]]","[[810, 975]]","[[885, 1290]]"
Club 27,"[[0, 225]]","[[330, 1170]]",[],"[[330, 585]]","[[855, 1155]]","[[690, 990]]","[[405, 1440]]"
Raintree Restaurant,"[[345, 510], [0, 735]]","[[600, 1095]]","[[510, 1050]]","[[525, 990]]","[[885, 1440]]","[[0, 735], [330, 990]]","[[1020, 1440]]"
Poppy's Italiano,[],"[[345, 930]]","[[435, 840]]","[[585, 1230]]","[[495, 1350]]",[],"[[1020, 1275]]"
Marker 32,"[[435, 630]]","[[390, 645]]","[[510, 1335]]","[[315, 435]]",[],"[[540, 1440]]","[[0, 195], [690, 1050]]"
Kazu Japanese Restaurant,"[[630, 810], [0, 90]]",[],[],"[[405, 1200]]",[],"[[495, 1230]]","[[780, 1440]]"
Horizons,"[[360, 1110]]","[[975, 1215]]","[[360, 1110]]","[[615, 735]]","[[870, 1185]]",[],"[[675, 1215]]"
Ocean 60,"[[1050, 1440]]","[[0, 210], [315, 375]]","[[990, 1155]]","[[315, 375]]","[[1035, 1365]]","[[315, 540]]","[[660, 1065]]"
Bistro Aix,[],"[[675, 1290]]","[[705, 1365]]","[[675, 1290]]","[[375, 1080]]","[[765, 870]]","[[375, 1080]]"
Cantina Laredo - Jacksonville,"[[885, 1065]]","[[525, 1200]]","[[645, 675]]","[[525, 1200]]","[[390, 720]]","[[420, 1200]]","[[645, 1050]]"
Azurea at One Ocean,"[[450, 1005], [0, 90]]","[[885, 1440]]","[[0, 120], [630, 1440]]","[[0, 90], [900, 1440]]","[[0, 195], [645, 1125]]","[[630, 1440]]","[[0, 135], [915, 1440]]"
Restaurant Orsay,"[[825, 1020]]","[[705, 975]]","[[585, 1440]]","[[825, 1020], [0, 165]]","[[765, 810]]","[[420, 1095]]","[[855, 1005]]"
North Beach Fish Camp,[],[],"[[885, 1020]]","[[705, 975]]","[[885, 1020]]","[[540, 1440]]","[[0, 210], [300, 420]]"
Old City House,"[[960, 1335]]",[],"[[870, 1230]]","[[615, 960]]","[[330, 1440]]","[[870, 1230], [0, 210]]","[[960, 1020]]"
David's Restaurant & Lounge,"[[675, 870]]","[[960, 1275]]","[[930, 1440]]","[[0, 765], [1020, 1440]]","[[0, 165], [1020, 1350]]","[[675, 870]]","[[1065, 1095]]"
La Mancha,[],"[[420, 795]]","[[465, 1440]]","[[0, 180], [630, 780]]","[[345, 930]]","[[885, 1410]]","[[705, 840]]"
Cellar 6,[],[],"[[1065, 1440]]","[[0, 225], [390, 690]]","[[390, 990]]","[[720, 1110]]","[[435, 720]]"
J. Alexander's - Jacksonville,"[[735, 780]]","[[330, 1335]]","[[360, 810]]","[[645, 795]]","[[735, 780]]","[[540, 720]]","[[525, 1125]]"
801 Chophouse Leawood,"[[0, 75]]","[[885, 1020]]",[],"[[435, 1440]]","[[0, 210], [495, 1290]]","[[435, 1440]]","[[0, 210], [1065, 1440]]"
EBT Restaurant,"[[420, 1440], [0, 75]]","[[0, 135], [600, 945]]","[[1035, 1440]]","[[420, 1440], [0, 180]]","[[0, 135], [1035, 1440]]","[[600, 945], [0, 180]]","[[720, 1440]]"
Zocalo Mexican Cuisine & Tequileria,"[[840, 1065]]","[[570, 1170]]","[[1005, 1440]]","[[0, 735], [450, 1395]]","[[840, 1440]]","[[0, 120], [945, 1020]]","[[1005, 1110]]"
Real Jalisco - Northland,[],"[[1065, 1440]]","[[0, 720], [360, 705]]","[[690, 780]]","[[1065, 1440]]","[[0, 720], [330, 1080]]","[[975, 1320]]"
Gaslight Grill,"[[645, 1095]]","[[765, 1005]]",[],"[[315, 735]]","[[1065, 1440]]","[[0, 90], [495, 1095]]","[[705, 1275]]"
Johnny Cascone's,[],"[[450, 1335]]","[[405, 540]]","[[705, 1230]]","[[405, 540]]","[[510, 960]]","[[645, 1335]]"
Vinotopia Restaurant and Bar,"[[570, 705], [0, 735]]","[[315, 750]]",[],"[[570, 705]]",[],"[[390, 1440]]","[[0, 210], [1050, 1440]]"
Morton's Grille - Kansas City,"[[1065, 1365]]",[],"[[525, 1020]]","[[525, 1155]]","[[390, 1125]]","[[675, 765]]","[[375, 840]]"
Grand Street Cafe,"[[960, 1440], [0, 135]]","[[0, 135], [375, 1215]]","[[300, 1440]]","[[0, 195], [795, 1440]]","[[300, 1440], [0, 765]]","[[0, 195], [975, 1035]]","[[615, 1440]]"
Bad Art Bistro,[],"[[1035, 1440]]","[[0, 90], [690, 855]]","[[810, 1440]]","[[0, 210], [630, 720]]","[[690, 855]]","[[345, 765]]"
TEN at the Eldridge,"[[570, 1440]]","[[0, 210], [360, 840]]","[[570, 1440]]","[[0, 210], [390, 540]]","[[450, 885]]","[[960, 1305]]","[[630, 1050]]"
Johnny's Italian Steakhouse - Olathe,[],"[[1065, 1440]]","[[0, 750]]","[[480, 930]]",[],[],"[[555, 690]]"
Paradise Diner,"[[975, 1140]]","[[1020, 1095]]","[[975, 1275]]","[[450, 1440]]","[[0, 195], [345, 1440]]","[[450, 1440], [0, 210]]","[[0, 195], [420, 600]]"
Sushi House,"[[750, 1440], [0, 735]]","[[0, 165], [780, 1440]]","[[0, 120], [1035, 1440]]","[[0, 735], [600, 960]]","[[975, 1440]]","[[0, 750], [405, 870]]","[[1035, 1440]]"
Blue Bird Bistro,[],"[[315, 1290]]","[[345, 1170]]","[[540, 1125]]","[[855, 975]]","[[540, 1125]]","[[855, 975]]"
Webster House,"[[465, 1185]]","[[360, 1440]]","[[0, 90], [330, 1410]]","[[450, 1365]]","[[690, 735]]","[[840, 1425]]","[[450, 1365]]"
Pig & Finch Gastropub,[],"[[945, 1320]]","[[930, 1140]]","[[750, 945]]","[[1050, 1440]]","[[930, 1140], [0, 60]]","[[405, 435]]"
Newport Grill - OP,"[[315, 1050]]","[[855, 1200]]","[[570, 810]]","[[420, 1110]]","[[855, 1200]]","[[660, 1335]]","[[315, 990]]"
Eighty Eight @ The Elms,"[[840, 1230], [0, 210]]","[[855, 1440]]","[[0, 210], [450, 1230]]","[[855, 1440]]","[[0, 210], [615, 960]]",[],"[[435, 1440]]"
Nara Kansas City,"[[735, 1080]]","[[585, 720]]","[[645, 1125]]","[[735, 1080]]","[[1020, 1440]]","[[0, 735], [660, 990]]","[[960, 1410]]"
801 Fish - Leawood,"[[0, 120]]","[[630, 1155]]",[],"[[630, 1260]]","[[1050, 1410]]","[[765, 1260]]","[[900, 1440]]"
Elements,"[[645, 720]]",[],[],"[[300, 555]]","[[660, 1275]]","[[645, 720]]","[[600, 900]]"
Real Jalisco - Blue Springs,"[[1050, 1110]]",[],"[[1050, 1110]]",[],"[[840, 1350]]",[],"[[510, 630]]"
Drunken Fish - Leawood,"[[1065, 1440]]","[[0, 90], [525, 1290]]",[],"[[450, 510]]","[[990, 1425]]","[[480, 1245]]","[[465, 660]]"
Woodfire Grille,"[[390, 1440]]","[[0, 75], [900, 1440]]","[[0, 105], [510, 600]]","[[1020, 1260]]",[],"[[675, 810]]","[[615, 690]]"
Sullivan's Steakhouse - Leawood,"[[300, 1440], [0, 225]]","[[0, 210], [540, 1350]]","[[300, 1440]]","[[0, 210], [435, 750]]","[[345, 540]]","[[585, 1365]]","[[705, 1440]]"
The Burg & Barrel,"[[1065, 1290]]","[[375, 1440]]","[[0, 225], [375, 1335]]","[[630, 1320]]","[[1065, 1290]]","[[855, 900]]","[[660, 1395]]"
Cafe Verona,[],"[[540, 735]]","[[750, 1440]]","[[540, 735], [0, 75]]","[[810, 1155]]","[[330, 1425]]","[[630, 1125]]"
Fridas Contemporary Mexican,"[[840, 1215], [0, 750]]","[[660, 1185]]","[[570, 645]]","[[1035, 1155]]","[[690, 975]]",[],"[[780, 1440]]"
RA Sushi Bar Restaurant - Leawood,"[[900, 1440]]","[[0, 180], [720, 1440]]","[[900, 1440], [0, 105]]","[[0, 180], [915, 1440]]","[[720, 1440], [0, 165]]","[[0, 105], [900, 1095]]","[[420, 975]]"
Affäre,"[[1005, 1065], [0, 90]]","[[1005, 1095]]",[],"[[480, 1050]]","[[1005, 1065]]","[[570, 870]]","[[945, 1440]]"
4 Olives Restaurant,"[[690, 750]]","[[1050, 1440]]","[[0, 195], [570, 1035]]","[[870, 1245]]","[[690, 750]]","[[330, 1185]]","[[450, 600]]"
The Jacobson,[],[],"[[810, 1350]]","[[465, 720]]","[[810, 1350]]","[[315, 900]]","[[375, 840]]"
Coal Vines,"[[930, 1035]]","[[945, 1245]]","[[1050, 1440]]","[[930, 1035], [0, 120]]","[[540, 1440]]","[[0, 60], [330, 1440]]","[[0, 105], [870, 1290]]"
Story,"[[810, 960], [0, 60]]","[[1065, 1260]]","[[510, 1245]]","[[1065, 1260]]","[[375, 900]]","[[705, 1020]]","[[660, 1440]]"
Collection,"[[315, 360], [0, 60]]","[[960, 1440]]","[[0, 60], [690, 1440]]","[[0, 210], [675, 1440]]","[[960, 1440], [0, 150]]","[[0, 60], [780, 1440]]","[[960, 1440], [0, 165]]"
Louie's Wine Dive - Kansas City,"[[435, 510]]","[[570, 1080]]",[],"[[615, 960]]","[[810, 930]]","[[450, 1140]]","[[390, 915]]"
Gram & Dun,"[[0, 165]]","[[930, 1440]]","[[0, 90], [750, 1260]]","[[780, 1170]]","[[1005, 1440]]","[[0, 60], [915, 1335]]","[[660, 1440]]"
Siena Tuscan Steakhouse - Ambassador Hotel,"[[375, 975]]","[[600, 1440]]","[[375, 975], [0, 120]]","[[450, 1440]]","[[0, 135], [450, 1395]]","[[600, 1440]]","[[0, 120], [450, 795]]"
Jax Fish House-Kansas City,"[[1065, 1185]]",[],"[[360, 1275]]","[[1065, 1185]]","[[510, 1050]]","[[900, 1095]]","[[915, 1035]]"
Golden Ox,"[[0, 120]]","[[1035, 1440]]","[[0, 225], [720, 1380]]","[[990, 1350]]","[[675, 1440]]","[[0, 105], [675, 825]]","[[615, 1440]]"
The Classic Cup,"[[795, 960]]","[[735, 1440]]","[[0, 105], [870, 1350]]","[[495, 1335]]","[[735, 1440]]","[[0, 105], [660, 1440]]","[[0, 120], [630, 675]]"
Seasons 52 - Kansas City,[],[],"[[750, 930]]",[],"[[615, 1260]]","[[600, 1170]]",[]
Rosso @ Hotel Sorella Country Club Plaza,"[[345, 1440]]","[[0, 90], [930, 1440]]","[[0, 135]]","[[495, 705]]","[[300, 1395]]","[[495, 600]]","[[330, 765]]"
Wine Dive,"[[720, 1170]]","[[810, 870]]",[],"[[1035, 1095]]","[[360, 1050]]","[[885, 1365]]",[]
Carma,"[[630, 1110]]","[[585, 1440]]","[[0, 195], [960, 1335]]","[[435, 975]]","[[555, 720]]","[[945, 1410]]","[[960, 1335]]"
Rye,"[[0, 165]]",[],[],"[[1020, 1440]]","[[0, 195], [735, 1155]]","[[1065, 1440]]","[[0, 120], [1065, 1440]]"
Broadmoor Bistro - Broadmoor Technical Center,"[[540, 675]]",[],"[[885, 1290]]","[[945, 1305]]","[[540, 675]]","[[510, 1245]]","[[885, 1290]]"
The Westside Local,"[[870, 960]]","[[735, 825]]","[[825, 1440]]","[[0, 180], [645, 1440]]","[[0, 120], [1035, 1305]]","[[825, 1440]]","[[0, 180], [420, 1290]]"
An Urban Table,[],"[[960, 1035]]","[[1035, 1125]]","[[990, 1230]]","[[930, 1440]]","[[0, 195], [750, 885]]","[[810, 1245]]"
Buca di Beppo - Kansas City,"[[810, 1440]]","[[0, 210], [660, 1395]]","[[585, 1425]]","[[990, 1305]]","[[1035, 1440]]","[[0, 180], [1050, 1305]]","[[915, 1410]]"
The Drop,[],"[[465, 990]]",[],"[[615, 885]]","[[840, 915]]",[],"[[1035, 1095]]"
Anthony's Restaurant,"[[675, 1440], [0, 210]]","[[0, 195], [630, 1260]]","[[675, 1440]]","[[0, 195], [780, 1440]]","[[0, 210], [780, 1440]]","[[0, 720], [915, 960]]","[[780, 1440]]"
Pachamama's,[],"[[975, 1155]]",[],"[[465, 510]]","[[585, 1080]]","[[780, 1215]]","[[585, 1080]]"
Tannin Wine Bar and Kitchen,"[[660, 765]]","[[795, 1290]]","[[945, 1290]]","[[540, 930]]","[[795, 1275]]","[[660, 765]]","[[420, 555]]"
Newport Grill,"[[675, 915], [0, 105]]","[[945, 1440]]","[[0, 105], [540, 1440]]","[[0, 105], [450, 1125]]","[[930, 990]]","[[840, 1155]]","[[540, 1440]]"
Harry's Restaurant,"[[675, 1335]]",[],"[[600, 1440]]","[[0, 210], [870, 945]]","[[525, 1170]]","[[675, 1335]]","[[405, 1155]]"
Julian,[],"[[510, 780]]","[[780, 1440]]","[[0, 765], [495, 1440]]","[[0, 90], [870, 1440]]","[[780, 1440], [0, 165]]","[[0, 765], [480, 1320]]"
Tucson's Steakhouse,"[[525, 1155]]","[[750, 1200]]","[[960, 1440]]","[[0, 135], [1020, 1440]]","[[0, 225], [795, 1110]]","[[675, 1230]]","[[795, 1110]]"
The Dubliner,[],"[[795, 930]]","[[810, 990]]","[[555, 1110]]","[[435, 795]]","[[510, 750]]","[[825, 1215]]"
Michael Forbes Bar & Grille,[],"[[1035, 1380]]","[[825, 1245]]",[],"[[615, 750]]","[[435, 510]]","[[945, 1095]]"
Renee Kelly's Harvest,"[[405, 1230]]","[[525, 825]]","[[435, 1440]]","[[0, 165]]","[[945, 1005]]","[[990, 1425]]","[[540, 690]]"
della Voce,"[[0, 750]]","[[510, 1440]]","[[0, 165], [960, 1395]]","[[510, 1440]]","[[0, 165], [960, 1395]]","[[375, 1125]]","[[1020, 1440]]"
The Broadway Jazz Club,"[[690, 1425], [0, 150]]",[],"[[450, 495]]","[[885, 1410]]","[[345, 1290]]","[[840, 1035]]","[[750, 1440]]"
Café Sebastienne,[],"[[420, 1440]]","[[0, 210]]","[[1020, 1335]]",[],[],"[[990, 1425]]"
Dodge House Restaurant,"[[585, 1440]]","[[0, 150], [345, 495]]","[[585, 1440]]","[[0, 150], [645, 855]]","[[585, 1440]]","[[0, 150], [930, 1230]]","[[945, 1050]]"
Carmen's Cafe - Brookside,[],"[[990, 1125]]","[[600, 1050]]","[[540, 735]]","[[1065, 1440]]","[[0, 165], [915, 1035]]","[[870, 1305]]"
Café Trio,[],"[[840, 1440]]","[[0, 105], [495, 1020]]","[[840, 1440]]","[[0, 105], [495, 1020]]","[[450, 570]]","[[600, 1215]]"
Room 39 - Leawood,"[[900, 1440]]","[[0, 105], [480, 900]]","[[525, 1440]]","[[900, 1440], [0, 225]]","[[0, 105], [960, 1440]]","[[525, 1440], [0, 165]]","[[0, 225], [1065, 1155]]"
715,"[[735, 1440], [0, 90]]","[[0, 180], [300, 420]]","[[795, 1440]]","[[0, 60], [615, 1440]]","[[0, 225], [855, 1440]]","[[615, 1440], [0, 120]]","[[0, 225], [465, 1440]]"
Five21 - The Oread Hotel,"[[705, 1425]]","[[300, 495]]","[[540, 600]]","[[705, 1425]]","[[540, 600]]","[[1065, 1185]]","[[450, 975]]"
Aixois French Restaurant & Coffee Bar,"[[855, 1305]]","[[1065, 1140]]","[[555, 1425]]","[[960, 1440]]","[[1065, 1140], [0, 750]]","[[795, 1440]]","[[555, 1425], [0, 75]]"
Kona Grill - Kansas City,"[[390, 585]]","[[900, 1440]]","[[0, 210], [495, 885]]","[[390, 585]]","[[390, 930]]","[[1005, 1440]]","[[0, 765], [405, 465]]"
Accurso's Italian Restaurant,"[[0, 120]]",[],"[[765, 1440]]","[[0, 150], [810, 915]]","[[1065, 1440]]","[[0, 75], [450, 1005]]","[[825, 1440]]"
The Summit Grill,"[[810, 1005]]",[],"[[795, 1440]]","[[0, 765], [675, 1410]]","[[810, 1005]]","[[570, 765]]","[[690, 960]]"
Genovese,[],"[[330, 510]]","[[720, 1440]]","[[0, 180], [735, 1305]]","[[915, 1065]]","[[750, 975]]","[[360, 885]]"
La Bodega - Leawood,[],[],"[[840, 1440]]","[[0, 225]]","[[690, 1440]]","[[0, 180], [600, 915]]","[[750, 1260]]"
Remedy Food + Drink,"[[975, 1440]]","[[0, 150], [795, 915]]","[[360, 750]]","[[660, 750]]","[[795, 915]]","[[360, 750]]","[[990, 1230]]"
Tavern In The Village,"[[465, 720]]","[[1065, 1365]]","[[735, 1200]]",[],"[[1065, 1440]]","[[1065, 1365], [0, 720]]","[[525, 990]]"
The Rieger Hotel Grill and Exchange,"[[1035, 1245]]","[[1020, 1125]]",[],"[[705, 720]]","[[1035, 1440]]","[[0, 75], [330, 1440]]","[[0, 210]]"
Renaissance Cafe,[],"[[555, 765]]","[[405, 960]]","[[1065, 1395]]","[[645, 780]]","[[1065, 1395]]","[[690, 1170]]"
Ophelia's Restaurant,"[[660, 1275]]","[[840, 1395]]","[[780, 1440]]","[[0, 720], [660, 930]]","[[780, 1440]]","[[0, 720], [660, 930]]","[[405, 1305]]"
